title,view,like,unlike,comment,date,comment_text
이 여자 인생 바꿔놓겠습니다 Ep1다이어트기초 (현미날다) I'm Gonna Change Her Life,3370786,6000,875,2631,2020.5.30,     
헬창이 오픈카 안타면 되는 이유,3022606,2000,4000,886,2021.3.17,어디 내놔도 부끄러운 우리 형 쫌 챙피해요 차살따 숄프 옵션 확인해야됨 뒤에 여자가 놈 보듯이 보는거 같아 형 짜증내는것 같으면서도 눈치보면서 작게 소리지른닼 
Lv3 완벽한 복근을 만들기 위한 8분 루틴 따라만하세요 (누구나 집에서도 가능) [8mins intense Abs Workout],2894822,49000,386,4178,2020.2.27,매트하고 땀이랑 만나서 마찰때문에 방구소리 오지게 나네요 코로나하 제발 우리 가족여러분들은 아무도 안걸리고 건강하셨으면 좋겠습니다정말 다들 건강합시다집에 계신분들은 이 영상 보고 한번 따라해보세요 복근운동은 짬짬히 집에서 하는게 사실 최고입니다 쇠랑합니다 미트리 아래링크를 타고 회원가입만 하셔도 최대할인 이상 할인 추천코드 마이프로틴 링크 링크타고 싸고 구매하세요 추천인 코드 회원가입시 입력 최대 이상 추가할인코드 결제창 할인코드란에 입력 이 영상 보는사람 특 지금 하기 귀찮아서 일단 좋아요 해놓고 나중에 해봐야지 라고 생각만함 복근운동을 목운동으로 전환하는 내가 레전드다 이분거는 영상틀면 바로시작이라서 일단 따라하게됨 
Lv5 12분만에 체지방 100% 소각시키는 루틴 따라만하세요 [Only 12mins Fat Burning Workout],1997960,36000,308,3405,2020.3.3,와 해보니깐 완전 따라가진못해도 완주하니깐 너무 보람차서 허니콤보시켰습니다 제 자신이 너무 대견해서용 무심코 저를봤다면 당신은 천운이 따를겁니다 구독과 좋아요를 누르시면 당신이 꿈꿔온 몸매로 살게 됩니다 간절한사람만 이뤄집니다 하기 전 분이면 껌이지 하는 중 시계 고장났나 무심코 지나가다 이 글을 봤다면 당신은 로또 등에 당첨될것입니다 좋아요 눌러주시고 모두 코로나 조심하세요 중간에 광고좀 넣어줘요 형 죽을거같아요 
Lv4 층간소음없이 딱 15분 체지방 100% 녹여버리는 루틴  [Noise Free 15mins Fat Burning Workout],1815334,3000,209,3146,2020.3.19,층간소음은 해결 됐는데 입에서 나는 소리가 소음공해 수준이라 큰일이네요 누워서 보고있는 사람 조심히 손 들고 갑니다 아 물론 저도 포함 고마운 형에게 언제 끝나 미놈아라고 혼자 운동하다가 모르고 욕을 해버렸네여 형 고마워 안녕하세요 저는 중학생 시청자입니다 요즈음 코로나 때문에 살이 무척 쪄서 스트래스를 많이 받았는데 매일 밤마다 따라하면서 뺐습니다 영상 너무 좋아요 감사합니닷 누구나 쉽게 한다면서형 표정이 안좋아보이는데 
Lv4 10분 만에 집에서 가슴 작살내는 루틴 (누구나 쉽게 가능) [10mins Intense Chest Workout],1668668,24000,242,1325,2020.3.12,이거하다가 저승사자 만났는데 팔들힘이없어서 하이파이브 못했습니다 감사합니다 하 소올직히 할만합니다 진짜루 이번에 일부러 쉬는시간 많이 줌 망설이지 말고 일단 시작 예상질문 푸쉬업만 하면 가슴 만들 수 있나요 푸쉬업으로도 예쁘고 좋은 가슴을 만들 수 있습니다 하지만 크기를 키우기 위해서는 과부하을 줘야하기 때문에 기초체력을 기르고 헬스장으로 가서 덤벨바벨과 싸우시는게 좋아요 닭가슴살 최저가 미트리 아래링크를 타고 회원가입만 하셔도 최대할인 이상 할인 추천코드 마이프로틴 링크 링크타고 싸고 구매하세요 추천인 코드 회원가입시 입력 최대 이상 추가할인코드 결제창 할인코드란에 입력 푸쉬업 다이아몬드 푸쉬업 버피 푸쉬업 분 휴식 니드라이브 푸쉬업 포암 푸쉬업 업 앤 다운 푸쉬업 분 휴식 아쳐 푸쉬업 디클라인 푸쉬업 인클라인 푸쉬업 진짜 힘들기 시작하면 나오는 자세 푸쉬업 초 다이아몬드푸쉬업 초 버피 푸쉬업 초 분휴식 니드라이브 푸쉬업 초 포암 푸쉬업 초 업앤다운 푸쉬업 초 분휴식 아처 푸쉬업 초 디클라인 푸쉬업 초 인클라인 푸쉬업 초 가슴스트레칭개인적 운동후 초씩 휴식 내가볼려고 적음 
365일 유지하는 '진짜' 제대로 된 복근 만드는 법 ,1589491,2000,617,1422,2019.1.9,앞 연기 제끼고 진짜 시작 크 아놔 복근 이자식 나이를 먹어도 아직까지 쑥스러움을 많이타서 보여줄 생각을 안하네 연기욕심버리는게 왜 이리 힘든지 껄껄 다 같이 복근 함 만듭시더 여친 형님 어깨 디지게넓습니다 
1분안에 마스터한다 미친 등을 만들어주는 운동 바벨로우,1368467,6200,232,369,2019.1.18,혼자 운동하는 헬린이에겐 영상이 제일 많이 도움되는것 같아요 바벨로우도 광배를 먹이려고 하는 사람이 있고 상중하부 승모를 먹이려고 하는사람이 있는데 이렇게 저 하나의 동작이 맞다고 하는건 아닌듯 뭐 이런용도로 바벨로우를 할때는 이런동작으로저런동작으로 이렇게 설명해주시는게 사람들 혼돈이 안오지싶네요 안혁하세요 여러분들 분 오랜만이죠 사실 요즘에 기획에 집중하느라 영상을 많이 못 올렸습니다 열심히하고 있습니다 바벨로우 전 체크해보세요 영상에 바벨로우는 가장 기본적인 견갑의 후인을 적극 활용하는 바벨로우 입니다 개인적인 생각이지만 풀 다운 동작과는 달리 로우동작에서는 견갑후인을 최대한 활용해서 광배근에 집중보다는 등전체광배대원능형승모를 타격하는게 좋다고 생각해요 어디까지나 의견입니다 나 지금까지 고개처들고했는데 자세볼라고 역시 분 는 오답노트 보는 기분이라 넘모 유익해 
어깨 넓어지는 비법  어깨 넓어지는 6가지 운동 엄선해봤어요,1239674,13000,344,1316,2018.8.12,어깨도 어깨인데 키큰게 너무부럽다 회전근대 스트레칭 풀업 오버헤드 프레스전면삼각근 발달 티바 로우 레터럴 레이즈측면 삼각근 발달 암풀 다운 벤트 오버레이즈후면어깨 스쿼트 데드의 필요성 형 제발 꼬추라도 작아줘 키크고 몸좋고 존나잘생기고 박보검 멸친줄 알았는데 몸짱이구나 
헬스장 처음이면 뭘 어떻게 할까요초보자를 위한 완벽가이드 영상,1222402,11000,387,1266,2018.12.15,남자가 물어봤을때의 반응 이쁜 여자가 물어봤을때의 반응 헬린이는 부위별 운동 분할운동 이딴거 필요없습니다 그냥 전신운동 코어운동 위주로 한달이상 조지세요 신체 변화 가장 많이 느껴질겁니다 데드 스쿼트 벤치프레스 케틀벨하시고 풀업바에 대롱대롱 매달려서 버틸수 있을때까지 버티세요 악력이 길러져야 다른 운동할때 중량이 쉽게 올라갑니다 여기에 복근운동이나 본인이 원하는 부위별운동 몇개 추가하셔도 됩니다 중간중간 쉬는타임 길어도 분 넘기지 마시고 스마트폰 보지마세요 집중력 다떨어짐 운동은 오래한다고 좋은게 아니라 짧고 굵게 하는게 제일 좋은겁니다 본인이 원빈급 수지급 쌍판때기 아니면 아무도 관심없으니 남 신경쓰거나 부끄러워 할필요도 없습니다 아 가끔 헬린이만 보면 핥짝거리고 싶어하는 근육몬들은 눈만 안마주치면 비선공몬스터이니 운동법이나 기구사용법 팁 얻고 싶으면 가끔 쳐다보는 근육몬들의 눈을 지긋이 쳐다봐주시면 되겟습니다 근육몬들 위험할 수도 있는게 생각보다 가르쳐주고 알려주는거 좋아해서 어느 순간 정신차려보면 그 뒤에 피카츄에게 명령 내리는 지우처럼 근육몬의 말대로 움직이고 있음 근육몬들 뉴비 좋아함 처음가진 않지만 매번 처음가는 느낌 우리나라도 미국처럼 웨이트 트레이닝을 학교에서 수업으로 가르쳤으면 하는 마음이 큽니다 
