title,view,like,unlike,comment,date,comment_text
ENG)  커진 모공 작게 만드는 법 드디어 공개 How to reduce your enlarged pores | 뷰티클라우드 유나 UNA,7740792,19000,3400,8043,2018.6.16,   아 인생 너무 힘들다 한국인이없어 
ENG) 하체비만 100% 해결 다리가 얇아지는 '진짜비법' 공개 'Amazing Tips for Slimming | UNA 유나,4231159,76000,1800,2201,2017.8.8,이시영송지효 합쳐놓은거 같아요 댓글 존내 어이없네 딴 사람들 보라고 꾸미고 살빼는게 아니라 내가 거울로 내 얼굴보면 기분이 조아서 가꾸는거야 익힌야채를 먹는다 물은 갈증이 날때만 마신다 탄수화물 늘리기 탄수화물 단백질 해조류 필수 많이 무기질 삶은 양배추 비타민 뿌리채소 나트륨 과일 커피 술 흘깃흘깃 송지효가 보여요 다리는 타고나는게 큰겆같아요 저런거 안 해도 얇을 사람은 얇음 
ENG) no협찬 완전 깨끗한 코 턱 밑 직접 검증 블랙헤드 안녕 You can remove blackheads  - U:NA BEAUTY CLOUD 47,2318889,28000,742,1069,2016.8.4,근데솔직히 피부가 심각하게 안좋았다가 좋아진 케이스의 뷰투버들의 말이 더 신뢰가가용 이분은 태생적으로 꿀피부잖아 피부좋은사람들은 우리들의 맘을 몰라 죽어라 노력해야 평타치는 피부 오일로 백날 문질러도 다안녹는사람 많아요 맙소사저 얼굴이 민낯이라니 어렵다분명 한국말로 설명하는거 같은데학교 다닐때 외국어듣기 평가하는 기분이네 유나님 하는 말은 다 쏙쏙 잘 들어와요 커버사진 환공포를 일으키는구나 
ENG) 성공률 100%  다리붓기 레알 쫙 빼는법 100% guaranteed How to get rid of leg swelling  | 뷰티클라우드 유나 UNA,2100086,82000,550,1500,2018.6.2,언니 저 지금 소름돋았어요 마사지 분만에 눈에 띄게 종아리랑 허벅지가 얄쌍해졌어요 안믿기시겠지만 정말 다리가 가벼워지고 얄쌍해졌어요 혈액순환이 되면서 다리혈색도 좋아졌구요 정말 놀랐어요그동안 하체비만인 제 다리가 죄다 지방인줄알고 무산소 운동 유산소 운동만 죽어라 했었는데 왜 이제야 림프절 마사지를 안걸까요 요즘 오금부위가 툭튀어나오고 종아리가 두꺼워지는거 같았는데 운동하고 근육이 붙어서 그런줄 알았거든요 이게 다 붓기였다니 정말 감사해요 이렇게 즉각적으로 효과가 나올지 몰랐어요 적어도 저에겐 유나언니가 뷰티유투버 원탑이에요 아 소주잔 얼굴마사지도 잘하고 이썽요 짱짱 민망하셨을텐데 보여주셔서 감사해요스트레칭하러 가야겠어요 감사합니당사랑해요 시작 방금 한쪽 다리만 풀어줬는데도 방구가 나옴 와 이거 대박잉에 일동안 꾸준히 했더니 종아리 개얇아짐 허벅지는 그냥 지방이엇던 거야 살이 빠지는 거보다 다리 모양이 예뻐짐 진짜 유나님 감사합니다 어디계시나요 절받으세요 
ENG) 깨끗한 흰자 만드는 법 실핏줄 탁한 지저분한 흰자 해결 How to clear up the white of the eye   | 뷰티클라우드 유나 UNA,1925222,51000,849,1274,2018.5.19,이언니는 진짜 자기관리의 끝판왕 정말 저한테필요한영상이었어요 늘 더악화되면염증약과 인공눈물처방받던 장기 안구건조증환자입니다 역시 언니는 사랑입니다 오늘진짜 잘보구 가요 와 안그래도 안구를 뽑아서 씻고싶었는데 휴 이분 목소리 톤에 말도 조리있게 하셔서 귀에 쏙쏙들어옴 신기방기 헉 이런거 첨 알았어요 기름샘을 짜주라니 수 많은 병원을 다녀도 이런거 가르쳐 주는 병원이 없었어요 진짜 배신감이 드는 기분 
ENG) 머리가 빠진다면 이 영상 꼭 보세요  탈모 극복하는법 완결판 How to overcome hair loss- the complete guide | 뷰티클라우드 유나 UNA,1780230,31000,828,1395,2019.3.23,정리 스트레스를 안받아야 하는데 머리가 빠지는게 스트레스라 무한반복 왜 탈모는 개그의 재료로만 사용되는가 탈모는 병이다 의료보험 적용되게 하라으아아아악 년 사이에 젊은사람들 탈모가 확늘음 나이대도 점점 어려지고 성별구분도 없음 그리고 평생 풍성충일 줄 알았던 나도 탈모옴 사회적문제같음 국가가 탈모치료 지원해줘야함 대 넘어가면 잘생기구 못생기구가 중요한게 아니드라 머릿빨 피부빨 두가지가 제일 중요함 
ENG) 기초부터 베이스까지 진짜 완벽한 피부로 보이는 방법 How to get a flawless skin | 뷰티클라우드 유나 UNA,1562999,23000,878,721,2018.10.27,애청 구독자입니다 한가지 의견을 드리고싶어서 댓글 남겨요 백원짜리 퍼프로 매일쓰게되면 한달에 개씩 나오는데 한두명도 아니고 만명의 구독자가 쓰게되면 환경오염에 엄청난 영향을 가하게 됩니다 환경에도 신경을 써주세요 근데 저 퍼프를 하루에 하나씩 쓰면 환경오염은 엄청나겠네요  사람들이 하도 피부 좋아보여요 어떻게 화장했어요 물어봐서 알려준거같은데 알려주니 복잡하다 너무 많이 바른다 일반인이 저걸 다 언제 바르고 앉았냐 하네 이렇게 꼭 매일 하세요 라고 한것도 아니고 저기서 본인스타일대로 뺄건 빼고 더할건 더하면 되는건데 뭐가 그렇게 투덜투덜거릴게 많은지  
ENG) 마시면 빠진다 뱃살주스 Weight Loss On a Belly Fat Juice  | 뷰티클라우드 유나 UNA,1386455,21000,492,945,2017.12.16,미백주스 회분 요거트 우유 반컵 프락토 올리고당 큰술 블루베리 개 카카오닙스 큰술 아몬드 분말 큰술 카무카무분말 작은술 아로니아 작은술 뱃살주스 아몬드 밀크 보이차 구기자가루 올리고당은 맛을 위해 넣음 올리고당 대신 스테비아를 넣어도 됨 요약해봤어요 뱃살주스 아몬드밀크무가당보이차가루 티스푼 구기자가루 맛없으면 올리고당이나 스테비아 첨가 먹는법 밤보단 낮에 하루에 나눠 마시기 식후 소화조금 된 뒤에 마시기 식사량도 좀 조절하고 스트레칭과 운동병행하기 더보기에 레시피도적어두는건 어떨까요 혹시나 외국에 사시는 분들 보이차는 구기자는 로 찾아서 나왔어용 아마존에서 저 원래 이런거 잘 안남기고 잘 안하는데 언니 만나 제 인생이 달라졌어요 원래는 삼십사년 살면서 꾸준했던 제 평균 몸무게가 언니의 하비영상과 미백쥬스 물광쥬스 그리고 미식한끼 먹으면서 까지 빠지는 놀라운 경이로운 숫자를 제 두눈으로 보게 되었어요 넘나 감사해요 이번 뱃살쥬스까지 잘 익혀놓고 언니영상들 번갈아가며 골고루 먹으면 정말 건강해질듯 하네요 너무 감사해서 글 남겨요 고마움은 표현해야 아니까 
ENG)  밝게 뽀얗게 마시면 피부가 하얘지는 미백주스 OMG Skin Brighter Whitening Juice  -  UNA BEAUTY CLOUD 84,1289754,21000,328,1445,2017.6.8,안녕하세요 유나입니다 이너뷰티영상에 많은 관심 감사해요 영상속에서 나온 재료들은 어떤 브랜드를 구입하셔도 무방해요 저도 마트에서 세일제품 골라요 상황에따라 저렴하게 파는거 구입하시면 되용 카무카무는요 특정 브랜드는 관계 없고요 페루산을 확인하시고 구입하시면 됩니다 중국산이 좀더 저렴하게 파는데 페루산이 효과가 좋다 합니다 역시 오리지널 인터넷에서 카무카무 검색하셔서 원하시는사이트에서 구입하시면 되요 저는 소셜에서 구입한답니당 쿠폰팍팍 사용해서 카카오닙스 아몬드가루 등도 마찬가지로 인터넷 검색하셔서 원하시는거 구입하시면되요 이마트 롯데마트 이런 대형마트에서도 팔아요 카무카무의 정식 학명은 인데요 해외에 계신분들은 로 검색하시면 아마존 이베이 타오바오 등에서 카무카무 파우더를 발견하실 수 있을 거에요 유당불내증 때문에 우유 못드시면 두유나 아몬드우유 넣으셔도 무방해요 단 맛은 조큼 떨어질 수 있어요 생아몬드 갈아서 드시는건 비추해요 이유는 영양상 문제는 없지만 잘 안갈려요 호로록 마시기도 어렵구용 아 그리고 여러번 강조 드리지만 올리고당 때신 꿀 넣어도 되는지 궁금해 하시는데 안되요 유산균이 장까지 살아서 도착해야 하는데 유산균에게는 목부터 장까지 가는거리가 꽤 길어요 가기전에 배고프겠죠 장까지 끝까지 무사히 도착하기 위해서는 올리고당이 그 먹이역할을 해준답니당 무조건 달다고 당이라고 같은 역활을 하지않아요 아침에 드셔도 점심에 드셔도 상관없는데 장운동이 급 활발해져서 화장실을 찾아다니셔야 할지도 그래서 저는 맘편히 자기전에 먹어요 자고 일어나면서 기분좋게 배속을 비우고 상큼하게 하루를 시작해욤 마지막으로 협찬없어요 많이들 민감해 하시는 것 같은데 협찬이던 아니던 우리들의 목적은 모두가 이뻐지는 그날까지 다같이 화이팅 해보아요 조금 더 저렴하고 알뜰하게 이너뷰티를 하실 수 있도록 많은 연구 노력할게요 감사합니다 다 구하기 귀찮은 재료들이다 유나님 유나님께서 직접 만드신 레시피라면 레시피 특허출헌하시는것도 좋을듯요 요즘 기업에서 개인사업자나 프리랜서들 아이디어 많이 캐치해가서 상품화 하더라구요 그런데 그 과정에 아이디어 원작자의 동의가 없거나 하는경우가 많다네요 유나님의 머릿속에서 나온 아이디어라면 특허출헌 하시는거 추천드려요 무설탕플레인요거트 회분량 우유 반컵정도 프락토올리고당 최소 큰술이소말토설탕꿀 안됨 블루베리다른베리류 알 아로니아가루 작은술 아몬드가루 큰술 카카오닙스 큰술 카무카무분말 작은술 믹스 먹는당 끄읏 언니 이너뷰티 항상 잘 보고있고 좋아하는 코너인데 학생인지라 많은 재료를 사기가 금전적으로 조금 딸려요 혹시 정말 간단한재료로 이너뷰티 할 수 있는 방법 아신다면 공유해주세요 
ENG) 고데기와 호일로 손상모 100% 복구 Restore your damaged hair 100% with foil  | 뷰티클라우드 유나 UNA,1217972,39000,703,1604,2018.9.15,     
