title,view,like,unlike,comment,date,comment_text
웜 청초 메이크업 Warm Transparent Makeup,203831,9100,162,284,2021.5.1, 유료 광고 없는게 거의 없네 뒷광고 전에 이분이 설명하시는거 좋아보여서 많이 따라샀는데 뒷광고 터진유료광고 고지 필수이후로 다 광고였다는거 알게되니까 배신감 든다 대부분이 광고를 위한 영상이네    
문수진X포니 저 달(the moon) 라이브 클립 메이크업 MOON SUJIN X PONY 'THE MOON' MAKEUP,115144,4900,114,264,2021.4.25,    닮았다 자매인줄 포니화가 잘된듯 
Matte Caramel Makeup 매트 캬라멜 메이크업,299727,15000,167,333,2021.4.17, 광고 없는 찐템들도 보고싶어요 요즘 옛날 영상들 돌려보고 있는데 그때 언니가 쓰던 제품들 알아가는 맛이 있었던게 생각나더라구요   가발이라고 말 안하면 진짜 모를것 같아요 대박 그리고 이번 메이크업 진짜 대박이에요 분위기 대박 
싱그러운 오후 메이크업Golden Hour Glow Makeup,388599,16000,278,458,2021.4.3,   포니님 역시 프로시다 노랑볼터치 망한거같았는데 프로의 손길로 더 예쁘게 바르심 볼터치 넘넘예뻐요  
방구석 셀피 메이크업 Chilling at Home Selfie Makeup,265782,11000,214,323,2021.3.27,나만 광고 들어올때만 영상찍는 느낌이냐 옛날의 집구석 겟레디가 그립다   진짜 광고 안들어간 영상이 없구낭  
코트 입을 때 하면 분위기 넘치는 메이크업MOOD: Coat & Flattering Makeup Combination,270406,11000,238,343,2021.3.20,  약간 친구랑 길가다가 야야 저언니 미쳤어 봐봐 할 것 같은 느낌 포니님 보니까 어벤져스에 스칼렛 위치 완다가 떠올라요 조심스럽게 커버 메이크업 부탁드립니당 뭐징 코트를 벗을 시기가 아니라 입을 시기 
키치 다꾸 메이크업kitschy kitschy ya ya makeup,230026,1000,341,368,2021.2.27,근데 진짜 광고 안 들어간 영상이 없는 듯   근데 진짜 영상이 거의 광고네요 저 파란 보석 좀 더 옆으로 보조개 피어싱처럼 했어도 이뻤을 것 같아요 오늘 편집 진짜 레전드로 정성과 아이디어가 들어간 듯 
초간단 데일리 메이크업 Daily Simple Makeup,410955,16000,352,335,2021.2.20, 와 유료광고 전용 영상인가요 점점 영상이 그냥 영업하는 느낌 학생들도 저렴하게 할 수 있는 로드샵 메이크업 혹시 해주실 수 있나요 이거 파운데이션 후기 많이 찾아보시고 구매하세요 호불호 개갈림  
[IM'UNNY] WITCH'S POTION,177238,1000,190,386,2021.2.18, 와   세상에 뮤비인줄 
UNBOXING: Off-White c/o Amorepacific Kit,91632,3400,233,175,2021.2.10,단순노출 선물협찬 광고의 신세계 뒷광고 뒷광고 뒷광고 뒷광고 뒷광고 뒷광고 뒷광고 뒷광고 뒷광고 뒷광고   사망여우님이 업로드하신거에 답변해주세요 
